Streams,Title,Artists,URI,Artist URIs
2698789025,Thinking out Loud,['Ed Sheeran'],spotify:track:34gCuhDGsG4bRPIf9bb02f,['spotify:artist:6eUKZXaKkcviH0Ku9w2n3V']
2687102570,Love Yourself,['Justin Bieber'],spotify:track:50kpGaPAhYJ3sGmk6vplg0,['spotify:artist:1uNFoZAHBGtllmzznpCI3s']
2684864998,Shallow,"['Lady Gaga', 'Bradley Cooper']",spotify:track:2VxeLyX666F8uXCJ0dZF8B,"['spotify:artist:1HY2Jd0NmPuamShAr6KMms', 'spotify:artist:4VIvfOurcf0vuLRxLkGnIG']"
2679280989,bad guy,['Billie Eilish'],spotify:track:2Fxmhks0bxGSBdJ92vM42m,['spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH']
2642702944,Thunder,['Imagine Dragons'],spotify:track:1zB4vmk8tFRmM9UULNzbLB,['spotify:artist:53XhwfbYqKCa1cC15pYq2q']
2637983182,All of Me,['John Legend'],spotify:track:3U4isOIWM3VvDubwSI3y7a,['spotify:artist:5y2Xq6xcjJb2jVM54GHK3t']
2624296906,Wake Me Up,['Avicii'],spotify:track:0nrRP2bk19rLc0orkWPQk2,['spotify:artist:1vCWHaC5f2uS3yhpwWbIA6']
2602735227,Viva La Vida,['Coldplay'],spotify:track:1mea3bSkSGXuIRvnydlB5b,['spotify:artist:4gzpq5DPGxSnKTe4SA8HAU']
2595022733,Demons,['Imagine Dragons'],spotify:track:3LlAyCYU26dvFZBDUIMb7a,['spotify:artist:53XhwfbYqKCa1cC15pYq2q']
2590936678,Just the Way You Are,['Bruno Mars'],spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,['spotify:artist:0du5cEVh5yTK9QJze8zA0C']
2574922672,The Hills,['The Weeknd'],spotify:track:7fBv7CLKzipRk6EC6TWHOB,['spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ']
2570247651,Stressed Out,['Twenty One Pilots'],spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,['spotify:artist:3YQKmKGau1PzlVlkL1iodx']
2529605685,When I Was Your Man,['Bruno Mars'],spotify:track:0nJW01T7XtvILxQgC5J7Wh,['spotify:artist:0du5cEVh5yTK9QJze8zA0C']
2527835410,Without Me,['Eminem'],spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR']
2519187918,That's What I Like,['Bruno Mars'],spotify:track:0KKkJNfGyhkQ5aFogxQAPU,['spotify:artist:0du5cEVh5yTK9QJze8zA0C']
2518862883,HUMBLE.,['Kendrick Lamar'],spotify:track:7KXjTSCq5nL1LoYtL7XAwS,['spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg']
2515902836,Mr. Brightside,['The Killers'],spotify:track:003vvx7Niy0yvhvHt4a68B,['spotify:artist:0C0XlULifJtAgn6ZNCW2eu']
2515093390,Locked out of Heaven,['Bruno Mars'],spotify:track:3w3y8KPTfNeOKPiqUTakBh,['spotify:artist:0du5cEVh5yTK9QJze8zA0C']
2505133429,No Role Modelz,['J. Cole'],spotify:track:68Dni7IE4VyPkTOH9mRWHr,['spotify:artist:6l3HvQ5sa6mXTsMTB19rO5']
2488619121,Every Breath You Take,['The Police'],spotify:track:1JSTJqkT5qHq8MDJnJbRE1,['spotify:artist:5NGO30tJxFlKixkPSgXcFE']
2478558612,Do I Wanna Know?,['Arctic Monkeys'],spotify:track:5FVd6KXrgO9B3JPmC8OPst,['spotify:artist:7Ln80lUS6He07XvHI8qqHH']
2478354835,Let Her Go,['Passenger'],spotify:track:1KxwZYyzWNyZSRyErj2ojT,['spotify:artist:0gadJ2b9A4SKsB1RFkBb66']
2475531391,7 rings,['Ariana Grande'],spotify:track:6ocbgoVGwYJhOv1GgI9NsF,['spotify:artist:66CXWjxzNUsdJxJ2JdwvnR']
2475055474,Lose Yourself,['Eminem'],spotify:track:5Z01UMMf7V1o0MzF86s6WJ,['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR']
2454543867,In the End,['Linkin Park'],spotify:track:60a0Rd6pjrkxjPbaKzXjfq,['spotify:artist:6XyY86QOPPrYVGvF9ch6wz']
2441190194,Flowers,['Miley Cyrus'],spotify:track:7DSAEUvxU8FajXtRloy8M0,['spotify:artist:5YGY8feqx7naU7z4HrwZM6']
2417820066,Treat You Better,['Shawn Mendes'],spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,['spotify:artist:7n2wHs1TKAczGzO7Dd2rGr']
2415755553,drivers license,['Olivia Rodrigo'],spotify:track:5wANPM4fQCJwkGd4rN57mH,['spotify:artist:1McMsnEElThX1knmY4oliG']
2411808211,Let Me Love You,"['DJ Snake', 'Justin Bieber']",spotify:track:0lYBSQXN6rCTvUZvg9S0lU,"['spotify:artist:540vIaP2JwjQb9dm3aArA4', 'spotify:artist:1uNFoZAHBGtllmzznpCI3s']"
2411635983,Unforgettable,"['French Montana', 'Swae Lee']",spotify:track:3B54sVLJ402zGa6Xm4YGNe,"['spotify:artist:6vXTefBL93Dj5IqAWq6OTv', 'spotify:artist:1zNqQNIdeOUZHb8zbZRFMX']"
2390846786,One Kiss,"['Calvin Harris', 'Dua Lipa']",spotify:track:7ef4DlsgrMEH11cDZd32M6,"['spotify:artist:7CajNmpbOovFoOoasH2HaY', 'spotify:artist:6M2wZ9GZgrQXHCFfjv46we']"
2384677027,Kill Bill,['SZA'],spotify:track:1Qrg8KqiBpW07V7PNxwwwL,['spotify:artist:7tYKF4w9nC0nq9CsPZTHyP']
2367709453,good 4 u,['Olivia Rodrigo'],spotify:track:4ZtFanR9U6ndgddUvNcjcG,['spotify:artist:1McMsnEElThX1knmY4oliG']
2348177946,Sorry,['Justin Bieber'],spotify:track:09CtPGIpYB4BrO8qb1RGsF,['spotify:artist:1uNFoZAHBGtllmzznpCI3s']
2346522518,SAD!,['XXXTENTACION'],spotify:track:3ee8Jmje8o58CHK66QrVC2,['spotify:artist:15UsOTVnJzReFVN1VCnxy4']
2344965215,Happier,"['Marshmello', 'Bastille']",spotify:track:7BqHUALzNBTanL6OvsqmC1,"['spotify:artist:64KEffDW9EtZ1y2vBYgq8T', 'spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc']"
2333159201,Jocelyn Flores,['XXXTENTACION'],spotify:track:7m9OqQk4RVRkw9JJdeAw96,['spotify:artist:15UsOTVnJzReFVN1VCnxy4']
2325087967,There's Nothing Holdin' Me Back,['Shawn Mendes'],spotify:track:7JJmb5XwzOO8jgpou264Ml,['spotify:artist:7n2wHs1TKAczGzO7Dd2rGr']
2310218627,SICKO MODE,['Travis Scott'],spotify:track:2xLMifQCjDGFmkHkpNLD9h,['spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY']
2304981058,Don't Stop Believin',['Journey'],spotify:track:5RKQ5NdjSh2QzD4MaunT91,['spotify:artist:0rvjqX7ttXeg3mTy8Xscbt']
2303886932,Smells Like Teen Spirit,['Nirvana'],spotify:track:5ghIJDpPoe3CfHMGu71E6T,['spotify:artist:6olE6TJLqED3rqDCT0FyPh']
2303439289,XO Tour Llif3,['Lil Uzi Vert'],spotify:track:7GX5flRQZVHRAGd6B4TmDO,['spotify:artist:4O15NlyKLIASxsJ0PrXPfz']
2292983713,Cold Heart,"['Elton John', 'Dua Lipa', 'PNAU']",spotify:track:6zSpb8dQRaw0M1dK8PBwQz,"['spotify:artist:3PhoLpVuITZKcymswpck5b', 'spotify:artist:6M2wZ9GZgrQXHCFfjv46we', 'spotify:artist:6n28c9qs9hNGriNa72b26u']"
2291317908,Lean On,"['Major Lazer', 'DJ Snake', 'MØ']",spotify:track:01aTsQoKoeXofSTvKuunzv,"['spotify:artist:738wLrAtLtCtFOLvQBXOXp', 'spotify:artist:540vIaP2JwjQb9dm3aArA4', 'spotify:artist:0bdfiayQAKewqEvaU6rXCv']"
2271836316,Save Your Tears,['The Weeknd'],spotify:track:5QO79kh1waicV47BqGRL3g,['spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ']
2265283935,New Rules,['Dua Lipa'],spotify:track:2ekn2ttSfGqwhhate0LSR0,['spotify:artist:6M2wZ9GZgrQXHCFfjv46we']
2261258273,Wonderwall,['Oasis'],spotify:track:7ygpwy2qP3NbrxVkHvUhXY,['spotify:artist:2DaxqgrOhkeH0fpeiQq2f4']
2260426541,Levitating,"['Dua Lipa', 'DaBaby']",spotify:track:5nujrmhLynf4yMoMtj8AQF,"['spotify:artist:6M2wZ9GZgrQXHCFfjv46we', 'spotify:artist:4r63FhuTkUYltbVAg5TQnk']"
2255433835,Too Good At Goodbyes,['Sam Smith'],spotify:track:1mXVgsBdtIVeCLJnSnmtdV,['spotify:artist:2wY79sveU1sp5g7SokKOiI']
2246091497,Stay With Me,['Sam Smith'],spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,['spotify:artist:2wY79sveU1sp5g7SokKOiI']
2245255497,Don't Stop Me Now,['Queen'],spotify:track:7hQJA50XrCWABAu5v6QZ4i,['spotify:artist:1dfeR4HaWDbWqFHLkxsg1d']
2231304334,Havana,"['Camila Cabello', 'Young Thug']",spotify:track:1rfofaqEpACxVEHIZBJe6W,"['spotify:artist:4nDoRrQiYLoBzwC5BhVJzF', 'spotify:artist:50co4Is1HCEo8bhOyUWKpn']"
2230505900,Seven,"['Jung Kook', 'Latto']",spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"['spotify:artist:6HaGTQPmzraVmaVxvz6EUc', 'spotify:artist:3MdXrJWsbVzdn6fe5JYkSQ']"
2229455873,Uptown Funk,"['Mark Ronson', 'Bruno Mars']",spotify:track:32OlwWuMpZ6b0aN2RZOeMS,"['spotify:artist:3hv9jJF3adDNsBSIQDqcjp', 'spotify:artist:0du5cEVh5yTK9QJze8zA0C']"
2228116413,Take on Me,['a-ha'],spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,['spotify:artist:2jzc5TC5TVFLXQlBNiIUzE']
2218835514,The Scientist,['Coldplay'],spotify:track:75JFxkI2RXiU7L9VXzMkle,['spotify:artist:4gzpq5DPGxSnKTe4SA8HAU']
2212585694,Someone Like You,['Adele'],spotify:track:1zwMYTA5nlNjZxYrvBB2pV,['spotify:artist:4dpARuHxo51G3z768sgnrY']
2206730443,Memories,['Maroon 5'],spotify:track:4cktbXiXOapiLBMprHFErI,['spotify:artist:04gDigrS5kc9YWfZHwBETP']
2200782942,Without Me,['Halsey'],spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,['spotify:artist:26VFTg2z8YR0cCuwLzESi2']
2197731618,See You Again,"['Tyler, The Creator', 'Kali Uchis']",spotify:track:7KA4W4McWYRpgf0fWsJZWB,"['spotify:artist:4V8LLVI7PbaPR0K2TGSxFF', 'spotify:artist:1U1el3k54VvEUzo3ybLPlM']"
2181145103,Iris,['The Goo Goo Dolls'],spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,['spotify:artist:2sil8z5kiy4r76CRTXxBCA']
2168798365,All I Want for Christmas Is You,['Mariah Carey'],spotify:track:0bYg9bo50gSsH3LtXe2SQn,['spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ']
2167282750,Till I Collapse,"['Eminem', 'Nate Dogg']",spotify:track:4xkOaSrkexMciUUogZKVTS,"['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR', 'spotify:artist:1Oa0bMld0A3u5OTYfMzp5h']"
2156804370,Sweet Child O' Mine,"[""Guns N' Roses""]",spotify:track:7snQQk1zcKl8gZ92AnueZW,['spotify:artist:3qm84nBOXUEQ2vnTfUTTFC']
2149311049,DÁKITI,"['Bad Bunny', 'JHAYCO']",spotify:track:47EiUVwUp4C9fGccaPuUCS,"['spotify:artist:4q3ewBCX7sLwd24euuV69X', 'spotify:artist:6nVcHLIgY5pE2YCl8ubca1']"
2131668053,INDUSTRY BABY,"['Lil Nas X', 'Jack Harlow']",spotify:track:27NovPIUIRrOZoCHxABJwK,"['spotify:artist:7jVv8c5Fj3E9VhNjxT4snq', 'spotify:artist:2LIk90788K0zvyj2JJVwkJ']"
2130158246,Before You Go,['Lewis Capaldi'],spotify:track:2gMXnyrvIjhVBUZwvLZDMP,['spotify:artist:4GNC7GD6oZMSxPGyXy4MNB']
2126764510,BIRDS OF A FEATHER,['Billie Eilish'],spotify:track:6dOtVTDdiauQNBQEDOtlAB,['spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH']
2125220514,Numb,['Linkin Park'],spotify:track:2nLtzopw4rPReszdYBJU6h,['spotify:artist:6XyY86QOPPrYVGvF9ch6wz']
2121712942,Faded,['Alan Walker'],spotify:track:698ItKASDavgwZ3WjaWjtz,['spotify:artist:7vk5e3vY1uw9plTHJAMwjN']
2121694098,We Don't Talk Anymore,"['Charlie Puth', 'Selena Gomez']",spotify:track:54PbBpquVfhfrwRwvjSXbI,"['spotify:artist:6VuMaDnrHyPL1p4EHjYLi7', 'spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx']"
2119157691,Stitches,['Shawn Mendes'],spotify:track:5jsw9uXEGuKyJzs0boZ1bT,['spotify:artist:7n2wHs1TKAczGzO7Dd2rGr']
2119073954,Payphone,"['Maroon 5', 'Wiz Khalifa']",spotify:track:4P0osvTXoSYZZC2n8IFH3c,"['spotify:artist:04gDigrS5kc9YWfZHwBETP', 'spotify:artist:137W8MRPWKqSmrBGDBFSop']"
2116554767,7 Years,['Lukas Graham'],spotify:track:5kqIPrATaCc2LqxVWzQGbk,['spotify:artist:25u4wHJWxCA9vO0CzxAbK7']
2115899076,Congratulations,"['Post Malone', 'Quavo']",spotify:track:3a1lNhkSLSkpJE4MSHpDu9,"['spotify:artist:246dkjvS1zLTtiykXe5h60', 'spotify:artist:0VRj0yCOv2FXJNP47XQnx5']"
2112925557,I Took A Pill In Ibiza,"['Mike Posner', 'Seeb']",spotify:track:0vbtURX4qv1l7besfwmnD8,"['spotify:artist:2KsP6tYLJlTBvSUxnwlVWa', 'spotify:artist:5iNrZmtVMtYev5M9yoWpEq']"
2112225513,I'm Not The Only One,['Sam Smith'],spotify:track:7795WJLVKJoAyVoOtCWqXN,['spotify:artist:2wY79sveU1sp5g7SokKOiI']
2111283975,The Box,['Roddy Ricch'],spotify:track:0nbXyq5TXYPCO7pr3N8S4I,['spotify:artist:757aE44tKEUQEqRuT6GnEB']
2099946618,Another One Bites The Dust,['Queen'],spotify:track:57JVGBtBLCfHw2muk5416J,['spotify:artist:1dfeR4HaWDbWqFHLkxsg1d']
2089660517,when the party's over,['Billie Eilish'],spotify:track:43zdsphuZLzwA9k4DJhU0I,['spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH']
2086228442,The Real Slim Shady,['Eminem'],spotify:track:3yfqSUWxFvZELEM4PmlwIR,['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR']
2081685177,Pumped Up Kicks,['Foster The People'],spotify:track:7w87IxuO7BDcJ3YUqCyMTT,['spotify:artist:7gP3bB2nilZXLfPHJhMdvc']
2079509872,All The Stars,"['Kendrick Lamar', 'SZA']",spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"['spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg', 'spotify:artist:7tYKF4w9nC0nq9CsPZTHyP']"
2075983862,See You Again,"['Wiz Khalifa', 'Charlie Puth']",spotify:track:2JzZzZUQj3Qff7wapcbKjc,"['spotify:artist:137W8MRPWKqSmrBGDBFSop', 'spotify:artist:6VuMaDnrHyPL1p4EHjYLi7']"
2075749593,505,['Arctic Monkeys'],spotify:track:58ge6dfP91o9oXMzq3XkIS,['spotify:artist:7Ln80lUS6He07XvHI8qqHH']
2071789148,Moonlight,['XXXTENTACION'],spotify:track:0JP9xo3adEtGSdUEISiszL,['spotify:artist:15UsOTVnJzReFVN1VCnxy4']
2071200839,I'm Yours,['Jason Mraz'],spotify:track:3S0OXQeoh0w6AY8WQVckRW,['spotify:artist:4phGZZrJZRo4ElhRtViYdl']
2070789551,La Bachata,['Manuel Turizo'],spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,['spotify:artist:0tmwSHipWxN12fsoLcFU3B']
2063787741,Better Now,['Post Malone'],spotify:track:7dt6x5M1jzdTEt8oCbisTK,['spotify:artist:246dkjvS1zLTtiykXe5h60']
2062744652,Billie Jean,['Michael Jackson'],spotify:track:7J1uxwnxfQLu4APicE5Rnj,['spotify:artist:3fMbdgg4jU18AjLCKBhRSm']
2059748969,Africa,['TOTO'],spotify:track:2374M0fQpWi3dLnB54qaLX,['spotify:artist:0PFtn5NtBbbUNbU9EAmIWF']
2059173429,Don't Let Me Down,"['The Chainsmokers', 'Daya']",spotify:track:1i1fxkWeaMmKEB4T7zqbzK,"['spotify:artist:69GGBxA162lTqCwzJG5jLp', 'spotify:artist:6Dd3NScHWwnW6obMFbl1BH']"
2054996888,Easy On Me,['Adele'],spotify:track:46IZ0fSY2mpAiktS3KOqds,['spotify:artist:4dpARuHxo51G3z768sgnrY']
2053882099,Rolling in the Deep,['Adele'],spotify:track:1c8gk2PeTE04A1pIDH9YMk,['spotify:artist:4dpARuHxo51G3z768sgnrY']
2044753677,Kiss Me More,"['Doja Cat', 'SZA']",spotify:track:3DarAbFujv6eYNliUTyqtz,"['spotify:artist:5cj0lLjcoR7YOSnhnX0Po5', 'spotify:artist:7tYKF4w9nC0nq9CsPZTHyP']"
2038344421,Roses,"['SAINt JHN', 'Imanbek']",spotify:track:72GVdRHK49beKrC1NqRCqj,"['spotify:artist:0H39MdGGX6dbnnQPt6NQkZ', 'spotify:artist:5rGrDvrLOV2VV8SCFVGWlj']"
2034569611,Radioactive,['Imagine Dragons'],spotify:track:4G8gkOterJn0Ywt6uhqbhp,['spotify:artist:53XhwfbYqKCa1cC15pYq2q']
2030397148,Night Changes,['One Direction'],spotify:track:5O2P9iiztwhomNh8xkR9lJ,['spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq']
2029804127,MONTERO (Call Me By Your Name),['Lil Nas X'],spotify:track:1SC5rEoYDGUK4NfG82494W,['spotify:artist:7jVv8c5Fj3E9VhNjxT4snq']
2026471098,Blank Space,['Taylor Swift'],spotify:track:45wMBGri1PORPjM9PwFfrS,['spotify:artist:06HL4z0CvFAxyc27GXpf02']
2026213384,Dynamite,['BTS'],spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,['spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX']
2025966342,Call Out My Name,['The Weeknd'],spotify:track:09mEdoA6zrmBPgTEN5qXmN,['spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ']
2022556365,The Nights,['Avicii'],spotify:track:0ct6r3EGTcMLPtrXHDvVjc,['spotify:artist:1vCWHaC5f2uS3yhpwWbIA6']
2021912763,Creep,['Radiohead'],spotify:track:70LcF31zb1H0PyJoS1Sx1r,['spotify:artist:4Z8W4fKeB5YxbusRsdQVPb']
2021171957,Mood,"['24kGoldn', 'iann dior']",spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"['spotify:artist:6fWVd57NKTalqvmjRd2t8Z', 'spotify:artist:6ASri4ePR7RlsvIQgWPJpS']"
2014768972,Mockingbird,['Eminem'],spotify:track:561jH07mF1jHuk7KlaeF0s,['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR']
2008026243,Sugar,['Maroon 5'],spotify:track:2iuZJX9X9P0GKaE93xcPjk,['spotify:artist:04gDigrS5kc9YWfZHwBETP']
2006805330,Me Porto Bonito,"['Bad Bunny', 'Chencho Corleone']",spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"['spotify:artist:4q3ewBCX7sLwd24euuV69X', 'spotify:artist:37230BxxYs9ksS7OkZw3IU']"
2003248989,"thank u, next",['Ariana Grande'],spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,['spotify:artist:66CXWjxzNUsdJxJ2JdwvnR']
1998020069,I’m Good (Blue),"['David Guetta', 'Bebe Rexha']",spotify:track:00cC7LhIY3LUcuHEo6tOUm,"['spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai', 'spotify:artist:64M6ah0SkkRsnPGtGiRAbb']"
1997869153,Gangsta's Paradise,"['Coolio', 'L.V.']",spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"['spotify:artist:3y24n3XhZ96wgwRXjvS17T', 'spotify:artist:2LhsePRtgCo4THVKULQBL7']"
1996457323,Somebody That I Used To Know,"['Gotye', 'Kimbra']",spotify:track:4wCmqSrbyCgxEXROQE6vtV,"['spotify:artist:2AsusXITU8P25dlRNhcAbG', 'spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti']"
1984221843,Attention,['Charlie Puth'],spotify:track:5cF0dROlMOK5uNZtivgu50,['spotify:artist:6VuMaDnrHyPL1p4EHjYLi7']
1982793139,Shut Up and Dance,['WALK THE MOON'],spotify:track:4kbj5MwxO1bq9wjT5g9HaA,['spotify:artist:6DIS6PRrLS3wbnZsf7vYic']
1977140175,Espresso,['Sabrina Carpenter'],spotify:track:2qSkIjg1o9h3YT9RAgYN75,['spotify:artist:74KM79TiuVKeVCqs8QtB0B']
1976616572,Dreams,['Fleetwood Mac'],spotify:track:0ofHAoxe9vBkTCp2UQIavz,['spotify:artist:08GQAI4eElDnROBrJRGE0X']
1974966006,Everybody Wants To Rule The World,['Tears For Fears'],spotify:track:4RvWPyQ5RL0ao9LPZeSouE,['spotify:artist:4bthk9UfsYUYdcFyqxmSUU']
